timestamp_utc,team,model,score,notes
2026-03-07T17:18:50Z,TugaAhmed,run1,0.545907,"PR #11"
2026-03-07T23:11:58Z,samuelmatia,main,0.390879,"PR #13"
2026-03-09T21:18:33Z,SanaeZR,gin-improvement,0.390879,"PR #16"
2026-03-13T17:05:38Z,abdksm-human,my-submission,0.402444,"PR #17"
2026-03-14T15:44:46Z,Muhammad0isah,GraphSAGE,0.604465,"PR #18"
2026-03-23T05:12:55Z,idrees11,my-submission,0.499107,"PR #19"
2026-03-25T17:13:59Z,AiIkram-human,my-submission,0.577043,"PR #20"
2026-03-25T18:15:18Z,Mubarraqqq-human,Mubaraq,0.390879,"PR #21"
2026-03-28T21:47:23Z,Murad-Hossen-human,Murad_GraphSAGE,0.552238,"PR #22"
2026-03-30T15:07:49Z,ignatiusbalayo,main,0.674096,"PR #23"
2026-04-02T21:01:31Z,tasneem-mselim-human,main,0.511173,"PR #24"
2026-04-03T14:58:20Z,Sargam1412,main,0.484848,"PR #25"
2026-04-10T06:40:23Z,RosePY-human,main,0.521509,"PR #26"
2026-04-11T22:51:59Z,El-Ikram,main,0.567130,"PR #27"
2026-05-15T18:16:38Z,randomuser1194,DeepSeek-v4-pro,0.534675,"PR #28"
2026-05-16T18:35:10Z,faranbutt,gemini-3-flash-submission,0.531732,"PR #29"
2026-05-19T18:43:49Z,Murad-Hossen,submission/LLM_claude_opus_47,0.553717,"PR #4"
2026-05-19T18:46:22Z,AiIkram,my-submission,0.452140,"PR #5"
2026-05-20T03:26:42Z,RosePY,master,0.390879,"PR #6"
2026-05-20T09:22:12Z,thisisislam1,my-submission,0.452140,"PR #7"
